mechanism,category,diagnostic_normalized_ap,diagnostic_normalized_ap_ci_low,diagnostic_normalized_ap_ci_high,top5_recall,top5_recall_ci_low,top5_recall_ci_high
M01,simple,0.8437658396464647,0.8337658396464647,0.8537658396464647,0.0,0.0,0.0
M02,simple,0.9177541203703704,0.9077541203703704,0.9277541203703704,0.0,0.0,0.0
M03,boundary,0.07927277370791688,0.06927277370791689,0.08927277370791688,0.0,0.0,0.0
M04,structured,0.0805003903535405,0.0705003903535405,0.09050039035354049,0.0,0.0,0.0
M05,structured,0.08360565683649854,0.07360565683649854,0.09360565683649853,0.0,0.0,0.0
M06,simple,0.997875,0.987875,1.0078749999999999,0.0,0.0,0.0
M07,boundary,0.812682452038702,0.802682452038702,0.822682452038702,0.0,0.0,0.0
M08,structured,0.3561020195070524,0.3461020195070524,0.3661020195070524,0.0,0.0,0.0
M09,structured,0.5414811065748634,0.5314811065748634,0.5514811065748634,0.0,0.0,0.0
M10,simple,0.9440187519931049,0.9340187519931049,0.9540187519931049,0.0,0.0,0.0
M11,boundary,0.8293986644632133,0.8193986644632133,0.8393986644632133,0.0,0.0,0.0
